State,Date,Handle,Revenue,Hold,Taxes
indiana,20-Sep,207450106,14283702,6.90%,1356952.0
indiana,20-Oct,230932251,21098460,9.10%,2004354.0
indiana,20-Nov,251403994,25332120,10.10%,2406551.0
indiana,20-Dec,313112474,24306695,7.80%,2309136.0
new_hampshire,19-Dec,360726,44759,12.40%,19403.0
new_hampshire,20-Jan,16834974,1643793,9.80%,713311.0
new_hampshire,20-Feb,22130928,1359395,6.10%,613679.0
new_hampshire,20-Mar,8768769,818605,9.30%,394229.0
new_hampshire,20-Apr,3774668,262393,7.00%,126090.0
new_hampshire,20-May,7180450,424947,5.90%,187743.0
new_hampshire,20-Jun,8138772,691103,8.50%,313156.0
new_hampshire,20-Jul,11623208,1268688,10.90%,602156.0
new_hampshire,20-Aug,27539869,1366338,5.00%,596720.0
new_hampshire,20-Sep,41373620,2290364,5.50%,990885.0
new_hampshire,20-Oct,47055486,4203875,8.90%,2001597.0
new_hampshire,20-Nov,46523447,4770459,10.30%,2323843.0
new_hampshire,20-Dec,51649897,4537653,8.80%,2137406.0
michigan,20-Aug,15744256,1977052,12.60%,166072.0
michigan,20-Sep,33503929,4376407,13.10%,367618.0
michigan,20-Oct,46120824,7596972,16.50%,638146.0
michigan,20-Nov,25080140,2337638,9.30%,196362.0
michigan,20-Dec,9720393,1883240,19.40%,158192.0
colorado,20-May,25621762,2565729,10.00%,96538.0
colorado,20-Jun,38136949,3484014,9.10%,217023.0
colorado,20-Jul,59183620,5196599,8.80%,241867.0
colorado,20-Aug,128646209,7519599,5.90%,189462.0
colorado,20-Sep,207655943,4166334,2.00%,69772.0
colorado,20-Oct,210719821,17402409,8.30%,824700.0
colorado,20-Nov,231238842,18354655,7.90%,793820.0
colorado,20-Dec,284551472,17151867,6.00%,531490.0
illinois,20-Jun,8281803,368651,4.50%,59446.0
illinois,20-Jul,52524820,3623985,6.90%,585623.0
illinois,20-Aug,140065649,7233360,5.20%,1176754.0
illinois,20-Sep,305222938,6837289,2.20%,1107906.0
illinois,20-Oct,434310957,42200300,9.70%,6807284.0
tennessee,20-Nov,131444523,13244908,10.10%,2363918.0
